Reporting date,"Loans to households, overdrafts, interest rate (%)","Loans to households, loans for house purchases with original maturity, up to 1 year, interest rate (%)","Loans to households, loans for house purchases with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to households, loans for house purchases with original maturity, over 5 years, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, up to 1 year, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to households, consumer loans and other loans with original maturity, over 5 years, interest rate (%)","Loans to non-financial corporations, overdrafts, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, up to 1 year, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, over 1 and up to 5 years, interest rate (%)","Loans to non-financial corporations, loans for house purchases with original maturity, over 5 years, interest rate (%)","Loans to households, overdrafts, volumes (€ million)","Loans to households, loans for house purchases with original maturity, up to 1 year, volumes (€ million)","Loans to households, loans for house purchases with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to households, loans for house purchases with original maturity, over 5 years, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, up to 1 year, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to households, consumer loans and other loans with original maturity, over 5 years, volumes (€ million)","Loans to non-financial corporations, overdrafts, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, up to 1 year, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, over 1 and up to 5 years, volumes (€ million)","Loans to non-financial corporations, loans for house purchases with original maturity, over 5 years, volumes (€ million)"
31/01/2003,12.49,4.86,5.17,4.39,8.87,8.07,5.69,7.54,5.79,5.48,5.42,1922,929,5287,37612,4679,4102,5791,3751,14381,14618,20813
28/02/2003,12.62,4.9,5.05,4.39,8.94,7.84,5.64,7.32,5.74,5.72,5.3,1962,936,5429,38242,4937,4281,5761,3916,13326,16027,20934
31/03/2003,12.26,4.8,4.94,4.24,9.36,7.59,5.48,7.23,5.79,5.58,5.06,1980,928,5588,39002,4162,4803,5975,4057,12154,15632,23535
30/04/2003,12.65,4.46,4.77,4.22,9.31,7.49,5.12,7.08,5.66,5.47,4.97,1984,738,5706,39183,4026,5151,5970,4037,12279,15923,23488
30/05/2003,12.56,4.71,4.68,4.2,9.59,7.4,5.37,6.99,5.63,5.32,4.86,1981,739,5874,39954,4020,5284,6004,3930,11751,16249,24106
30/06/2003,12.94,4.54,4.39,3.87,9.58,7.4,5.14,6.81,5.42,5.29,4.72,1861,699,5635,40846,3821,5453,5734,4089,12337,16440,24835
31/07/2003,12.64,4.32,4.25,3.75,9.4,7.35,5.04,6.74,5.33,5.11,4.63,1846,728,5833,41840,3883,5510,6010,3943,11882,16847,24890
29/08/2003,12.68,4.22,4.17,3.75,9.62,7.24,5.05,6.6,5.24,4.86,4.5,1859,771,6010,42734,3836,5291,6008,3804,12061,17142,25377
30/09/2003,12.69,4.18,4.08,3.71,9.64,7.2,4.97,6.66,5.26,4.68,4.49,1911,835,6143,43957,3949,5277,5895,3982,12445,17748,25725
31/10/2003,12.85,4.08,4.04,3.67,9.54,7.18,4.92,6.77,5.22,4.71,4.41,1865,876,6278,44921,3887,5375,6322,3488,12322,17346,26448
28/11/2003,12.76,3.99,4,3.65,9.84,7.1,4.81,6.47,5.21,4.63,4.39,1925,913,6629,45849,4018,5378,6201,4014,11060,17969,28422
31/12/2003,12.88,3.9,3.98,3.65,9.97,6.93,4.67,6.55,5.18,4.7,4.35,1970,985,2455,51520,3998,5387,6490,4174,10876,19022,28893
30/01/2004,12.8,4.83,4.19,3.63,9.67,6.82,4.8,6.45,5.18,4.64,4.39,1967,562,1176,54251,4304,5173,6539,4131,13877,16093,29254
27/02/2004,12.67,4.72,4.02,3.58,9.56,7.04,4.55,6.55,5.06,4.58,4.36,2050,555,1336,55020,4304,5471,6479,4086,14138,16205,29462
31/03/2004,12.76,4.62,3.96,3.56,9.58,6.95,4.74,6.8,5.04,4.55,4.38,2022,588,1285,56319,4269,5463,6755,3805,14652,16460,30705
30/04/2004,13.1,4.55,3.98,3.55,9.65,6.64,4.74,6.83,5,4.46,4.31,2001,638,1241,57428,4249,5590,6706,3729,15269,16720,30845
31/05/2004,13.14,4.54,4.03,3.54,9.64,6.61,4.69,6.86,4.95,4.4,4.29,1998,689,1208,58713,4376,5736,6966,3707,15502,17414,31523
30/06/2004,13.05,4.52,3.74,3.51,9.45,6.62,4.69,6.6,4.95,4.4,4.29,2068,737,1165,60063,4566,5937,6825,4149,15715,17697,32186
30/07/2004,13.05,4.53,3.77,3.49,9.34,6.63,4.7,6.68,4.87,4.41,4.25,1968,775,1221,63805,4638,5810,7016,3769,15940,18034,32879
31/08/2004,13.21,4.5,3.77,3.46,9.32,6.64,4.69,6.61,4.84,4.43,4.26,2021,781,1227,65085,4678,5864,7333,4089,16089,18388,32934
30/09/2004,13.28,4.47,3.79,3.46,9.29,6.63,4.67,6.72,4.87,4.36,4.27,2044,638,1213,66898,4778,5870,7419,4194,17500,19549,33735
29/10/2004,13.33,4.46,3.83,3.46,9.16,6.6,4.67,6.42,4.76,4.41,4.23,1998,656,1225,68288,4925,5964,7475,4081,17382,20106,33851
30/11/2004,13.14,4.45,3.78,3.47,9,6.57,4.65,6.48,4.8,4.39,4.22,2096,668,1226,69860,5144,6114,7582,4388,18646,20896,34567
